Item,Subsystem,Manufacturer,Part_Number,Product_Name,Quantity,Unit_Price_USD,Extended_Price_USD,Supplier,Availability,Key_Specification,Manufacturer_URL,Datasheet_URL,Purchase_URL,Access_Date,Selection_Status,Notes
15,Enclosure,Multiple,CUSTOM,Aluminum/polymer portable instrument enclosure and internal subframes,1,120.00,120.00,Local fabrication,Engineering allowance,"RF shield partitions; ventilated Jetson bay; isolated antenna mast",NOT VERIFIED,NOT VERIFIED,NOT VERIFIED,2026-08-25,BASELINE,"PRICE NOT VERIFIED; fabrication allowance"
16,RF fabrication,Multiple,CUSTOM_RF_PCB,Two-switch/filter-interface controlled-impedance PCB assembly,1,180.00,180.00,PCB fabricator/local assembly,Engineering allowance,"50 ohm CPWG; PE42442 x2; BFCN-3600; GPIO level/interface; shield cans",https://psemi.com/pdf/datasheets/pe42442ds.pdf,https://psemi.com/pdf/datasheets/pe42442ds.pdf,NOT VERIFIED,2026-08-25,BASELINE,"PRICE NOT VERIFIED; fabrication allowance; VNA characterize every path"
17,RF cables,Multiple,CUSTOM_SMA_CABLE,Phase-stable low-loss SMA cable assemblies <=250 mm,10,12.00,120.00,Authorized RF cable vendor,Engineering allowance,"50 ohm; specified through 6 GHz; individually labeled and measured",NOT VERIFIED,NOT VERIFIED,NOT VERIFIED,2026-08-25,BASELINE,"PRICE NOT VERIFIED; procurement ceiling; cable loss TBD calibration"
18,RF adapters,Multiple,CUSTOM_SMA_ADAPTER,SMA adapters bulkheads and 50-ohm terminations kit,1,40.00,40.00,Authorized RF distributor,Engineering allowance,"6 GHz minimum rating; includes switch unused-port terminations if required",NOT VERIFIED,NOT VERIFIED,NOT VERIFIED,2026-08-25,BASELINE,"PRICE NOT VERIFIED; procurement allowance"
19,Digital cables,Multiple,CUSTOM_DIGITAL_CABLE,DisplayPort-to-HDMI USB touch and shielded USB cables,1,35.00,35.00,Authorized electronics distributor,Engineering allowance,"DP-to-HDMI; USB-A touch; short shielded USB 3 cable",NOT VERIFIED,NOT VERIFIED,NOT VERIFIED,2026-08-25,BASELINE,"PRICE NOT VERIFIED; B206 kit already includes USB cable"
20,Power distribution,Multiple,CUSTOM_POWER,Power entry distribution fuse switch wiring connectors and rail monitor,1,80.00,80.00,Authorized electronics distributor,Engineering allowance,"5 A main fuse; branch fuses; locking connectors; 16-20 AWG; current/voltage monitor",NOT VERIFIED,NOT VERIFIED,NOT VERIFIED,2026-08-25,BASELINE,"PRICE NOT VERIFIED; includes fusing and emergency disconnect"
21,Mechanical antenna,Multiple,CUSTOM_XYZ_FIXTURE,Low-dielectric XYZ antenna mast fixture tripod and fasteners,1,120.00,120.00,Local fabrication,Engineering allowance,"Orthogonal axes; repeatable antenna position; >=1 m operator separation where practical",NOT VERIFIED,NOT VERIFIED,NOT VERIFIED,2026-08-25,BASELINE,"PRICE NOT VERIFIED; geometry frozen before calibration"
22,Calibration hardware,Multiple,CUSTOM_CAL_FIXTURE,RF calibration adapters terminations and injection fixture allowance,1,150.00,150.00,Authorized RF distributor/local lab,Engineering allowance,"Supports conducted path characterization; radiated calibration service not included",NOT VERIFIED,NOT VERIFIED,NOT VERIFIED,2026-08-25,BASELINE,"PRICE NOT VERIFIED; accredited antenna/probe calibration remains external project cost"
HARDWARE SUBTOTAL,Summary,NOT_APPLICABLE,NOT_APPLICABLE,Hardware subtotal,1,3660.94,3660.94,NOT_APPLICABLE,Calculated,"Sum of baseline BOM rows 1-22",NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,2026-08-25,SUMMARY,"Includes explicitly identified engineering allowances"
CONTINGENCY,Summary,NOT_APPLICABLE,NOT_APPLICABLE,Shipping imports fabrication spares and integration contingency,1,500.00,500.00,NOT_APPLICABLE,Reserved,"Fixed project reserve",NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,2026-08-25,SUMMARY,"Do not consume without updating BOM"
PROJECT TOTAL,Summary,NOT_APPLICABLE,NOT_APPLICABLE,Project total,1,4160.94,4160.94,NOT_APPLICABLE,Calculated,"Hardware subtotal plus contingency; <= USD 5000",NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,2026-08-25,SUMMARY,"Budget headroom USD 839.06"
